label,axis,metric,gap,ci_low,ci_high,excludes_zero
diabetic_retinopathy,sex,auc,0.021051681476712325,0.0007417271945324239,0.060314236706012644,True
diabetic_retinopathy,sex,sensitivity,0.038448548184485384,0.0011768724516879893,0.10630729544665674,True
diabetic_retinopathy,quality,auc,0.21654805134889596,0.194035666126229,0.239676213306759,True
diabetic_retinopathy,quality,sensitivity,0.5539838119685184,0.5153832688716992,0.5928254636836798,True
diabetic_retinopathy,age,auc,0.12615721231512617,0.01565809442630111,0.3119604339092205,True
diabetic_retinopathy,age,sensitivity,0.17644602474502924,0.02165741702895094,0.44178061741391284,True
macular_edema,sex,auc,0.02862976163755638,0.0013194341331997095,0.07895260654732603,True
macular_edema,sex,sensitivity,0.0462079139050398,0.0024212768150688917,0.12595239329065638,True
macular_edema,quality,auc,0.09686784245085792,0.00931022755531667,0.15758843599478958,True
macular_edema,quality,sensitivity,0.33890369768523476,0.28840339892665473,0.38548905951260964,True
macular_edema,age,auc,0.17201934521516535,0.00576916596226362,0.398226854416679,True
macular_edema,age,sensitivity,0.2262292554436188,0.03973058902275772,0.44852272727272724,True
