axis,label,ece_gap_before,ece_gap_global,ece_gap_groupaware
sex,diabetic_retinopathy,0.029300742882247696,0.03279369580140433,0.03362888137326121
sex,macular_edema,0.029324917529558348,0.02683908297126429,0.03658161567517301
sex,amd,0.007097779654376468,0.007130157850638336,0.010055682266932781
sex,drusens,0.009009434970166236,0.003895886077081856,0.012283694773204457
sex,increased_cup_disc,0.015776595323860193,0.015592087892488005,0.016281823192799097
quality,diabetic_retinopathy,0.01771774126568766,0.020075422712928045,0.027388324345789528
quality,macular_edema,0.013417342788161701,0.016360615534411704,0.018900953499910236
quality,amd,0.005100518654529415,0.003427629464913741,0.0021855939814986944
quality,drusens,0.057482806439195594,0.0477228018563369,0.057313173229695286
quality,increased_cup_disc,0.03198253099898973,0.03294554684707732,0.02846735587053542
camera,diabetic_retinopathy,0.006608162850614538,0.006950073180415461,0.0033155217110995283
camera,macular_edema,0.007488811812784837,0.007543031156080203,0.011377775986433553
camera,amd,0.007844220871846018,0.009545506652959296,0.01065520101872254
camera,drusens,0.02011921473317904,0.020259568993322263,0.015879194605784575
camera,increased_cup_disc,0.024952408851635827,0.015257088794114637,0.03170094240657825
