label,sens_before,sens_after,fpr_before,fpr_after
diabetic_retinopathy,0.8256227758007118,0.8540925266903915,0.060796285149195974,0.08160632900507352
macular_edema,0.6750788643533123,0.7255520504731862,0.008309337721102428,0.011271081859317153
amd,0.7103174603174603,0.6428571428571429,0.024222585924713585,0.08109656301145662
drusens,0.8574580759046778,0.850397175639894,0.2915931804820694,0.28737997256515774
increased_cup_disc,0.8435754189944135,0.8276137270550679,0.20008027292795505,0.20098334336744933
