axis,group,label,n,n_pos,auc,sensitivity,fpr,ece
camera,NIKON NF5050,myopic_fundus,4323,52,0.9939844749022928,0.6153846153846154,0.0018730976352142356,0.018527024622957893
camera,NIKON NF5050,increased_cup_disc,4323,514,0.9121454102662852,0.7723735408560312,0.1415069572066159,0.10670234784294329
age,40-59,diabetic_retinopathy,2475,98,0.9979394366076259,1.0,0.030710980227177113,0.08048010004552626
age,40-59,macular_edema,2475,65,0.997446536865624,0.7538461538461538,0.004979253112033195,0.023078527566083154
age,40-59,scar,2475,45,0.9765523548239597,0.9111111111111111,0.06831275720164609,0.010228181910710503
age,40-59,nevus,2475,8,0.7227401702472639,0.5,0.17511147142278072,0.04507538893683391
age,40-59,amd,2475,0,,,0.008484848484848486,0.018349373097898383
age,40-59,vascular_occlusion,2475,4,1.0,0.0,0.0,0.012815040355980998
age,40-59,hypertensive_retinopathy,2475,20,0.5718940936863545,0.2,0.18818737270875763,0.07261305353105671
age,40-59,drusens,2475,273,0.857931351119362,0.8534798534798534,0.27475022706630337,0.25290492101751194
age,40-59,hemorrhage,2475,1,1.0,1.0,0.34236054971705737,0.010026507748083936
age,40-59,myopic_fundus,2475,26,0.9998743600213588,0.8076923076923077,0.0,0.013938024737166637
age,40-59,increased_cup_disc,2475,528,0.8793044077134986,0.8541666666666666,0.2593733949666153,0.1533858811162939
age,60+,diabetic_retinopathy,4551,368,0.9150105499485495,0.7228260869565217,0.06382978723404255,0.11473988618032929
age,60+,macular_edema,4551,166,0.9308430987347338,0.6024096385542169,0.004561003420752566,0.04136948590397088
age,60+,scar,4551,83,0.9860210762476944,0.9518072289156626,0.1512981199641898,0.028852407598896256
age,60+,nevus,4551,61,0.8557778670269086,0.7868852459016393,0.2639198218262806,0.06092070820069108
age,60+,amd,4551,171,0.9640965045795615,0.672514619883041,0.04132420091324201,0.0402707207252803
age,60+,vascular_occlusion,4551,39,0.9679714493544281,0.05128205128205128,0.0,0.022130885366100746
age,60+,hypertensive_retinopathy,4551,111,0.656979952925899,0.5675675675675675,0.3213963963963964,0.11808597472672527
age,60+,drusens,4551,1216,0.8687800836423893,0.8708881578947368,0.33793103448275863,0.21238978403239586
age,60+,hemorrhage,4551,45,0.8445677368447009,0.9111111111111111,0.4995561473590768,0.01541738119651671
age,60+,myopic_fundus,4551,97,0.9724746434341425,0.28865979381443296,0.003592276605298608,0.03467939204082689
age,60+,increased_cup_disc,4551,1363,0.883276980533199,0.8628026412325752,0.2619196988707654,0.12796724351113561
age,<40,diabetic_retinopathy,1415,85,0.9093852277753207,0.8588235294117647,0.12631578947368421,0.18625169403772052
age,<40,macular_edema,1415,16,0.9792709077912795,0.5,0.028591851322373123,0.12114856423079547
age,<40,scar,1415,16,0.9971408148677626,1.0,0.09792709077912795,0.017460214152484606
age,<40,nevus,1415,4,0.9092841956059532,1.0,0.10276399716513111,0.023793095476635776
age,<40,amd,1415,0,,,0.005653710247349823,0.014191826274322326
age,<40,vascular_occlusion,1415,0,,,0.0,0.011861610415394915
age,<40,hypertensive_retinopathy,1415,16,0.6669049320943531,0.5,0.14653323802716225,0.059692828746861375
age,<40,drusens,1415,104,0.9215220325060142,0.8461538461538461,0.14950419527078565,0.17842911377601825
age,<40,hemorrhage,1415,0,,,0.32084805653710247,0.009434907175041076
age,<40,myopic_fundus,1415,16,0.9992852037169406,0.75,0.0,0.01828771652933539
age,<40,increased_cup_disc,1415,164,0.9164765748376908,0.8536585365853658,0.11990407673860912,0.09785329822858949
