condition,label,auc,sens,fpr,quality_auc_gap,quality_sens_gap
zero_shot,diabetic_retinopathy,0.7872389269874764,0.43351063829787234,0.04315886134067952,0.21436296296296298,0.5680000000000001
zero_shot,macular_edema,0.8747632300187299,0.29577464788732394,0.008264462809917356,,
recalibration,diabetic_retinopathy,0.7872389269874764,0.8218085106382979,0.5050505050505051,0.21436296296296298,0.17866666666666664
recalibration,macular_edema,0.8747632300187299,0.8309859154929577,0.25845229151014276,,
fine_tuned,diabetic_retinopathy,0.8738350624230702,0.4521276595744681,0.010101010101010102,0.09618765432098764,0.4533333333333333
fine_tuned,macular_edema,0.9393551390990571,0.39436619718309857,0.003005259203606311,,
