axis,label,sens_gap,fpr_gap,ece_gap
sex,diabetic_retinopathy,0.059488053352294235,0.00779055674956404,0.029300742882247696
sex,macular_edema,0.09261091868711857,0.005701319062006059,0.029324917529558348
sex,amd,0.04483430799220267,0.008320072487181758,0.007097779654376468
sex,drusens,0.017587659659838217,0.05902184138708394,0.009009434970166236
sex,increased_cup_disc,0.04628803863137054,0.025668093412841958,0.015776595323860193
quality,diabetic_retinopathy,0.12731452124286624,0.009208695598864974,0.01771774126568766
quality,macular_edema,0.18561872909698995,0.003086353825145864,0.013417342788161701
quality,amd,0.015617751662285406,0.014795594165513931,0.005100518654529415
quality,drusens,0.04318063508589276,0.0992475146371174,0.057482806439195594
quality,increased_cup_disc,0.07197588077307915,0.060943383978615706,0.03198253099898973
camera,diabetic_retinopathy,0.1378541354456576,0.015292355198891466,0.006608162850614538
camera,macular_edema,0.16014350945857792,0.0006867785430206622,0.007488811812784837
camera,amd,0.07997244968240602,0.006113513912465864,0.007844220871846018
camera,drusens,0.027813594667902453,0.02526982573471437,0.02011921473317904
camera,increased_cup_disc,0.08957425030862742,0.09480943064461034,0.024952408851635827
