label,axis,metric,in_domain,out_domain,change
diabetic_retinopathy,sex,auc,0.04250337079534672,0.011779571498220065,-0.030723799297126653
diabetic_retinopathy,sex,sensitivity,0.059488053352294235,0.02047614860838387,-0.039011904743910364
diabetic_retinopathy,sex,fpr,0.00779055674956404,0.0009426071208404468,-0.006847949628723593
diabetic_retinopathy,sex,ece,0.029300742882247696,0.009098815945631805,-0.02020192693661589
diabetic_retinopathy,quality,auc,0.02827320905566333,0.217137666972271,0.18886445791660766
diabetic_retinopathy,quality,sensitivity,0.12731452124286624,0.5547703180212014,0.4274557967783351
diabetic_retinopathy,quality,fpr,0.009208695598864974,0.06010195867990341,0.050893263081038434
diabetic_retinopathy,quality,ece,0.01771774126568766,0.06642363015901934,0.048705888893331675
diabetic_retinopathy,age,auc,0.08855420883230514,0.10161897184309299,0.01306476301078785
diabetic_retinopathy,age,sensitivity,0.27717391304347827,0.030346407099914152,-0.24682750594356412
diabetic_retinopathy,age,fpr,0.0956048092465071,0.11697312160345177,0.02136831235694467
diabetic_retinopathy,age,ece,0.10577160116417601,0.10834936520067046,0.0025777640364944426
macular_edema,sex,auc,0.015521197007438148,0.021324457124340057,0.005803260116901909
macular_edema,sex,sensitivity,0.09261091868711857,0.01865088228724593,-0.07396003639987264
macular_edema,sex,fpr,0.005701319062006059,0.002018727535501509,-0.00368259152650455
macular_edema,sex,ece,0.029324917529558348,0.016407656163290207,-0.01291726136626814
macular_edema,quality,auc,0.2078758306760543,0.09887771674280199,-0.10899811393325232
macular_edema,quality,sensitivity,0.18561872909698995,0.33568075117370894,0.15006202207671898
macular_edema,quality,fpr,0.003086353825145864,0.011920827710301394,0.008834473885155531
macular_edema,quality,ece,0.013417342788161701,0.023962769224442675,0.010545426436280973
macular_edema,age,auc,0.0666034381308902,0.18613725486878996,0.11953381673789976
macular_edema,age,sensitivity,0.25384615384615383,0.148876404494382,-0.10496974935177183
macular_edema,age,fpr,0.024030847901620557,0.08526992912532998,0.06123908122370942
macular_edema,age,ece,0.09807004951777376,0.1995772417192421,0.10150719220146834
