axis,label,metric,gap,ci_low,ci_high,excludes_zero
sex,diabetic_retinopathy,auc,0.04160026250533517,0.0028424325243723153,0.09205345206148684,True
sex,diabetic_retinopathy,sensitivity,0.06874240011306486,0.0028180402708802513,0.1839443287472497,True
sex,diabetic_retinopathy,fpr,0.010174903355823795,0.00042288562507925725,0.02642622996516725,True
sex,diabetic_retinopathy,ece,0.029212428425265898,0.007671512443072052,0.05102362596591793,True
sex,macular_edema,auc,0.029242537471392646,0.0009467030539671989,0.09929364815769953,True
sex,macular_edema,sensitivity,0.1226417316101936,0.003804788053110209,0.3226370123832885,True
sex,macular_edema,fpr,0.0057768565206728194,0.000286308417190685,0.012665615878158891,True
sex,macular_edema,ece,0.031028558178296285,0.010429375210337197,0.05498787984651943,True
sex,amd,auc,0.009485057228337975,0.0003248784823661893,0.029607559930203274,True
sex,amd,sensitivity,0.11703587574794583,0.006731363367642023,0.3234030703118373,True
sex,amd,fpr,0.008896829765839656,0.0004219522322725819,0.021570587673621067,True
sex,amd,ece,0.00793175620111573,0.0004924286741087968,0.019948247092757256,True
sex,drusens,auc,0.01741367436356785,0.000514334516925874,0.04818408710844917,True
sex,drusens,sensitivity,0.03159858390485884,0.0016129394173129336,0.0880102783056958,True
sex,drusens,fpr,0.05850823865727702,0.018780363553955258,0.10099425079967354,True
sex,drusens,ece,0.014052597284252354,0.0006467741120853632,0.03778462692951815,True
sex,increased_cup_disc,auc,0.028968404202267487,0.0033854803212679725,0.055404621454458375,True
sex,increased_cup_disc,sensitivity,0.048672378127415046,0.0028064803800011166,0.10486010027554017,True
sex,increased_cup_disc,fpr,0.02673591769197852,0.0013802850563802795,0.06333843272514021,True
sex,increased_cup_disc,ece,0.017203105779758844,0.000778694565335062,0.04305275589122923,True
quality,diabetic_retinopathy,auc,0.03776244213295358,0.0013296691275853062,0.11725685253872815,True
quality,diabetic_retinopathy,sensitivity,0.13490383965000377,0.005564192407693147,0.3572678167005374,True
quality,diabetic_retinopathy,fpr,0.01359051783472585,0.0006239418945603145,0.034367963054519064,True
quality,diabetic_retinopathy,ece,0.018246542765630206,0.0011290279758858408,0.044618988303631854,True
quality,macular_edema,auc,0.188950985725712,0.013310614446506275,0.45967987319666787,True
quality,macular_edema,sensitivity,0.29100118054123025,0.02247616615594142,0.7026278718189523,True
quality,macular_edema,fpr,0.004433535412800239,0.0001646759362824604,0.010613639996941706,True
quality,macular_edema,ece,0.011409782477540466,0.0005730479161220747,0.026884275768629288,True
quality,amd,auc,0.013986554214548547,0.000551154959371708,0.0390031773226184,True
quality,amd,sensitivity,0.15875176926944662,0.00659277504105088,0.467474913361745,True
quality,amd,fpr,0.015902106378315097,0.001455496217166966,0.03833675905626294,True
quality,amd,ece,0.010782683384330635,0.00038659113951210693,0.02867458769388058,True
quality,drusens,auc,0.03117596788812492,0.0011145867875807958,0.081740325420416,True
quality,drusens,sensitivity,0.059611069438369524,0.0028512871424770827,0.1582525414241347,True
quality,drusens,fpr,0.09775222152202627,0.04920804098533254,0.1447848032381462,True
quality,drusens,ece,0.05290655284199333,0.018823878124316146,0.08608414836618206,True
quality,increased_cup_disc,auc,0.056211240119487416,0.00486872965221177,0.12008019708791054,True
quality,increased_cup_disc,sensitivity,0.07533768228041884,0.003944072408105567,0.18438732378330183,True
quality,increased_cup_disc,fpr,0.06052499545789596,0.012091725441202806,0.11428754241174584,True
quality,increased_cup_disc,ece,0.03722568866216125,0.004614195490973108,0.07478803427589338,True
camera,diabetic_retinopathy,auc,0.04741624551542631,0.009932344839518168,0.0820851303378552,True
camera,diabetic_retinopathy,sensitivity,0.13942710156788052,0.02036104438263601,0.24611652149229535,True
camera,diabetic_retinopathy,fpr,0.015889413006489578,0.0010292164990095515,0.03408468690954383,True
camera,diabetic_retinopathy,ece,0.010208135148359734,0.00042130542756558566,0.026667359529514264,True
camera,macular_edema,auc,0.04158814865895294,0.004043389850867092,0.09221715327535876,True
camera,macular_edema,sensitivity,0.16916134332228358,0.010459574128304422,0.3724542082855501,True
camera,macular_edema,fpr,0.003025248466428113,0.0001411976599203692,0.008428410632911902,True
camera,macular_edema,ece,0.01119214077714109,0.0005236700129937263,0.02747094730910033,True
camera,amd,auc,0.009682533986649615,0.0003438090775245706,0.02535376574277505,True
camera,amd,sensitivity,0.13606985098741609,0.0050922291993720096,0.36482614956726256,True
camera,amd,fpr,0.007302846710094697,0.00034083151344993685,0.01815776094772216,True
camera,amd,ece,0.007984552883498289,0.00033287483873056854,0.01841919521269138,True
camera,drusens,auc,0.022984856665345756,0.0009468584240277689,0.06179997416038561,True
camera,drusens,sensitivity,0.037938340366303426,0.0013359954258294119,0.1021648340965418,True
camera,drusens,fpr,0.027143424711419242,0.0013689115078011267,0.06782117928864488,True
camera,drusens,ece,0.021297814074737145,0.0010728504472175668,0.04959669003773801,True
camera,increased_cup_disc,auc,0.022739349074285573,0.0016613509158463187,0.050698469120306976,True
camera,increased_cup_disc,sensitivity,0.08977513261912164,0.010124958654503677,0.1807372752994756,True
camera,increased_cup_disc,fpr,0.09415715482376488,0.058142435282107184,0.12907190391192014,True
camera,increased_cup_disc,ece,0.025644295155633295,0.0025212992593232598,0.05134843561063581,True
