axis,label,kind,gap,ci_low,ci_high,excludes_zero
sex,diabetic_retinopathy,ece_groupaware,0.03415756406863859,0.013795630725441056,0.05582751584294856,True
sex,diabetic_retinopathy,sens_after,0.06553496994582032,0.003346046326291127,0.1833480731264932,True
sex,diabetic_retinopathy,fpr_after,0.01765554964326373,0.0019934105399055223,0.036066506547587376,True
sex,macular_edema,ece_groupaware,0.03678551483171542,0.016835092229925568,0.05830539758910392,True
sex,macular_edema,sens_after,0.0928531093853658,0.003242556000021962,0.264159011916584,True
sex,macular_edema,fpr_after,0.0034159748986710495,0.0001362318460642999,0.0095417625909437,True
sex,amd,ece_groupaware,0.010616545292097814,0.0007414500968440366,0.02307740940500982,True
sex,amd,sens_after,0.34555412020853205,0.13439948346188246,0.5514884212305612,True
sex,amd,fpr_after,0.05539517998052021,0.03906435676409412,0.07293954634399658,True
sex,drusens,ece_groupaware,0.01544506465159846,0.0005444894726636264,0.039606699109659395,True
sex,drusens,sens_after,0.027853693231567302,0.0012740188678012439,0.07587606639810685,True
sex,drusens,fpr_after,0.02449952079347583,0.0009064427804390791,0.06262154864927935,True
sex,increased_cup_disc,ece_groupaware,0.017564676130358316,0.0006054314623961458,0.043180274387194344,True
sex,increased_cup_disc,sens_after,0.026067209010471104,0.0010131979545617842,0.07389293819805216,True
sex,increased_cup_disc,fpr_after,0.08140501716019634,0.044916389807742554,0.1181610667211171,True
quality,diabetic_retinopathy,ece_groupaware,0.027230016805921374,0.0020586537886188028,0.05376210157152639,True
quality,diabetic_retinopathy,sens_after,0.26409952624641675,0.039874179474744226,0.5157681306351307,True
quality,diabetic_retinopathy,fpr_after,0.06466860142105366,0.04381231398703338,0.08321660441063403,True
quality,macular_edema,ece_groupaware,0.015140727825894592,0.0008066051740750263,0.031249763664610533,True
quality,macular_edema,sens_after,0.6125298165539075,0.30561150530251013,0.772080415631353,True
quality,macular_edema,fpr_after,0.008734735718451715,0.0053310039102975985,0.012617811055253286,True
quality,amd,ece_groupaware,0.007559410353962336,0.0002955805742117444,0.0217303912087229,True
quality,amd,sens_after,0.8696872911364005,0.7817932752179327,0.9490744949494949,True
quality,amd,fpr_after,0.04989858242634634,0.03662141968415333,0.06309904147768083,True
quality,drusens,ece_groupaware,0.05523116095157803,0.021041002180329362,0.0902799602979348,True
quality,drusens,sens_after,0.061192096016441745,0.002116446682544115,0.14358611870367632,True
quality,drusens,fpr_after,0.18586568868858275,0.12164391527045643,0.2542429514401545,True
quality,increased_cup_disc,ece_groupaware,0.03151889867433042,0.0018576381497178295,0.06955441999024391,True
quality,increased_cup_disc,sens_after,0.045060500464708,0.001530032368621928,0.12298954383331369,True
quality,increased_cup_disc,fpr_after,0.11500115530115367,0.06248374879760716,0.16707870400477576,True
camera,diabetic_retinopathy,ece_groupaware,0.008847934532168566,0.0002372617273492618,0.02324093361969677,True
camera,diabetic_retinopathy,sens_after,0.09539002500035361,0.00727868362115508,0.19096477190672403,True
camera,diabetic_retinopathy,fpr_after,0.06160716776823074,0.04243741868409895,0.08160520403544491,True
camera,macular_edema,ece_groupaware,0.013007319059590518,0.0005388699920567163,0.02980671683618298,True
camera,macular_edema,sens_after,0.11744588101765117,0.0061745343822752095,0.2947650803497578,True
camera,macular_edema,fpr_after,0.004712266054033089,0.00022057873571093193,0.012229652414224886,True
camera,amd,ece_groupaware,0.009819788701419094,0.0005937122868733095,0.02011550632935667,True
camera,amd,sens_after,0.5005005479903031,0.3373442340791738,0.6579404239766082,True
camera,amd,fpr_after,0.20259132209014402,0.173651872231903,0.23138669393764755,True
camera,drusens,ece_groupaware,0.018091928100062164,0.000850960200942176,0.044786962347060456,True
camera,drusens,sens_after,0.0723881552736617,0.01267198005126452,0.13302993171955763,True
camera,drusens,fpr_after,0.1793656398217186,0.13758860164776232,0.22286005269551934,True
camera,increased_cup_disc,ece_groupaware,0.03183898810369056,0.0036607173521956624,0.05696496145492797,True
camera,increased_cup_disc,sens_after,0.037053587097466305,0.0015149374431266379,0.09693564702344912,True
camera,increased_cup_disc,fpr_after,0.02042579431830121,0.0010176238314805728,0.05450650968599523,True
